,CLASSNAME,landfire140,landfire200,tau,k
307,West Gulf Coastal Plain Chenier and Upper Texas Coastal Fringe Forest and Woodland,3339,7339,,
308,Mississippi Delta Maritime Forest,3384,7384,,
309,Southern Coastal Plain Limestone Forest,3328,7328,,
310,East Gulf Coastal Plain Southern Loess Bluff Forest,3329,7329,,
311,East Gulf Coastal Plain Southern Loblolly Flatwoods,3455,7455,,
312,East Gulf Coastal Plain Southern Hardwood Flatwoods,3588,7588,,
313,East Gulf Coastal Plain Southern Loblolly-Hardwood Flatwoods,3589,7589,,
314,West Gulf Coastal Plain Mesic Hardwood Forest,3323,7323,,
315,Southern Atlantic Coastal Plain Mesic Hardwood Forest,3343,7343,,
316,Lower Mississippi River Flatwoods,3513,7513,,
317,Southern Atlantic Coastal Plain Nonriverine Swamp and Wet Hardwood Forest,3501,7501,,
318,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Flatwoods,3449,7449,,
322,North Pacific Alpine and Subalpine Dry Grassland,3171,7171,,
326,Northern Rocky Mountain Foothill Conifer Wooded Steppe,3165,7165,,
327,Eastern Great Plains Tallgrass Aspen Shrubland,3268,7268,,
328,Eastern Great Plains Tallgrass Aspen Forest and Woodland,3331,7331,,
329,California Central Valley Mixed Oak Savanna,3112,7112,,
330,North American Warm Desert Riparian Herbaceous,3258,9533,,
331,Northern California Coastal Scrub,3128,7128,,
332,Southern California Coastal Scrub,3092,7092,,
334,Southern California Dry-Mesic Chaparral,3110,7110,,
336,California Maritime Chaparral,3096,7096,,
339,Colorado Plateau Blackbrush-Mormon-tea Shrubland,3078,7078,,
344,California Northern Coastal Grassland,3131,7131,,
345,California Central Valley and Southern Coastal Grassland,3129,7129,,
346,California Mesic Serpentine Grassland,3130,7130,,
355,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,3072,7072,,
366,Chihuahuan Mixed Salt Desert Scrub,3075,7075,,
370,Inter-Mountain Basins Curl-leaf Mountain Mahogany Shrubland,3250,7250,,
371,Rocky Mountain Bigtooth Maple Ravine Woodland,3012,7012,,
374,Inter-Mountain Basins Mat Saltbush Shrubland,3066,7066,,
378,Mogollon Chaparral,3104,7104,,
381,Madrean Pinyon-Juniper Woodland,3025,7025,,
384,Chihuahuan Gypsophilous Grassland and Steppe,3122,7122,,
385,Apacherian-Chihuahuan Semi-Desert Grassland,3256,7256,,
386,Chihuahuan Creosotebush Desert Scrub,3074,7074,,
388,Sonoran Granite Outcrop Desert Scrub,3090,7090,,
389,Sonoran Mid-Elevation Desert Scrub,3091,7091,,
390,Sonoran Paloverde-Mixed Cacti Desert Scrub,3109,7109,,
391,Chihuahuan Mixed Desert and Thornscrub,3100,7100,,
392,Western Great Plains Tallgrass Prairie,3150,7150,,
393,North-Central Interior Sand and Gravel Tallgrass Prairie,3412,7412,,
394,Northern Tallgrass Prairie,3420,7420,,
395,Central Tallgrass Prairie,3421,7421,,
396,Western Great Plains Foothill and Piedmont Grassland,3147,7147,,
398,Northwestern Great Plains Mixedgrass Prairie,3141,7141,,
399,Western Great Plains Shortgrass Prairie,3149,7149,,
400,Northwestern Great Plains Shrubland,3085,7085,,
401,Chihuahuan Loamy Plains Desert Grassland,3503,7503,,
402,Chihuahuan-Sonoran Desert Bottomland and Swale Grassland,3504,7504,,
403,Central Mixedgrass Prairie Grassland,3132,7132,,
404,Central Mixedgrass Prairie Shrubland,3207,7207,,
405,Southeastern Great Plains Tallgrass Prairie,3423,7423,,
406,Texas-Louisiana Coastal Prairie,3434,7434,,
407,Chihuahuan Sandy Plains Semi-Desert Grassland,3133,7133,,
408,Texas Blackland Tallgrass Prairie,3422,7422,,
409,West Gulf Coastal Plain Northern Calcareous Prairie,3428,7428,,
410,West Gulf Coastal Plain Southern Calcareous Prairie,3429,7429,,
411,Southern Atlantic Coastal Plain Dune and Maritime Grassland,3426,7426,,
412,East Gulf Coastal Plain Dune and Coastal Grassland,3435,7435,,
413,Tamaulipan Mixed Deciduous Thornscrub,3390,7390,,
414,Tamaulipan Calcareous Thornscrub,3392,7392,,
415,Tamaulipan Savanna Grassland,3438,7438,,
416,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,3076,7076,,
417,Western Great Plains Mesquite Shrubland,3204,7111,,
418,West Gulf Coastal Plain Nepheline Syenite Glade,3405,7405,,
419,Arkansas Valley Prairie and Woodland,3415,7442,,
420,Edwards Plateau Limestone Shrubland,3393,7393,,
421,Llano Uplift Acidic Forest and Woodland,3410,7410,,
422,Edwards Plateau Dry-Mesic Slope Forest and Woodland,3523,7523,,
423,Edwards Plateau Mesic Canyon,3524,7524,,
424,Llano Uplift Acidic Herbaceous Glade,3561,7561,,
425,Chihuahuan Succulent Desert Scrub,3077,7077,,
426,Madrean Oriental Chaparral,3101,7101,,
427,Madrean Juniper Savanna,3116,7116,,
428,Central Interior Highlands Calcareous Glade and Barrens Herbaceous,3291,7291,,
429,Central Interior Highlands Dry Acidic Glade and Barrens,3363,7363,,
430,Central Interior Highlands Calcareous Glade and Barrens Woodland,3401,7401,,
431,Texas Saline Coastal Prairie,3486,7486,,
432,South Florida Pine Flatwoods,3446,7446,,
433,Florida Dry Prairie Grassland,3425,7425,,
434,South Florida Everglades Sawgrass Marsh,3483,7483,,
435,Water,3805,,,
436,Water,3859,,,
437,Water,3887,,,
438,Snow-Ice,3737,,,
439,Urban,3857,,,
440,Caribbean High-medium density urban,3860,,,
441,Caribbean Low-medium density urban,3861,,,
442,Eastern Warm Temperate Urban Urban Deciduous Forest,3915,,,
443,Eastern Warm Temperate Urban Urban Evergreen Forest,3916,,,
444,Eastern Warm Temperate Urban Urban Mixed Forest,3917,,,
445,Eastern Warm Temperate Urban Urban Herbaceous,3918,,,
446,Eastern Warm Temperate Urban Urban Shrubland,3919,,,
449,Western Cool Temperate Undeveloped Ruderal Mixed Forest,3942,,,
452,Western Warm Temperate Undeveloped Ruderal Deciduous Forest,3945,,,
453,Western Warm Temperate Undeveloped Ruderal Evergreen Forest,3946,,,
454,Western Warm Temperate Undeveloped Ruderal Mixed Forest,3947,,,
457,Eastern Cool Temperate Undeveloped Ruderal Deciduous Forest,3950,,,
458,Eastern Cool Temperate Undeveloped Ruderal Evergreen Forest,3951,,,
459,Eastern Cool Temperate Undeveloped Ruderal Mixed Forest,3952,,,
460,Eastern Cool Temperate Undeveloped Ruderal Shrubland,3953,,,
461,Eastern Cool Temperate Undeveloped Ruderal Grassland,3954,,,
462,Eastern Warm Temperate Undeveloped Ruderal Deciduous Forest,3955,,,
463,Eastern Warm Temperate Undeveloped Ruderal Evergreen Forest,3956,,,
464,Eastern Warm Temperate Undeveloped Ruderal Mixed Forest,3957,,,
465,Eastern Warm Temperate Undeveloped Ruderal Shrubland,3958,,,
466,Eastern Warm Temperate Undeveloped Ruderal Grassland,3959,,,
467,Barren,3736,,,
468,Aleutian Sparsely Vegetated,3791,,,
469,Arctic Sparsely Vegetated,3792,,,
470,Boreal Sparsely Vegetated,3793,,,
471,Pacific Maritime Sparsely Vegetated,3794,,,
472,Barren,3830,,,
473,Barren,3832,,,
474,Quarries,3884,,,
475,Coastal sand and rock,3885,,,
476,Bare soil,3886,,,
479,North Pacific Sparsely Vegetated Systems,3003,,,
482,Western Great Plains Sparsely Vegetated Systems,3007,,,
483,North American Warm Desert Sparsely Vegetated Systems II,3218,,,
487,Sonoran Desert Sparsely Vegetated,3223,,,
488,Central Interior and Appalachian Sparsely Vegetated Systems,3497,,,
489,Gulf and Atlantic Coastal Plain Sparsely Vegetated Systems,3498,,,
490,Laurentian-Acadian Sparsely Vegetated Systems,3499,,,
491,Caribbean Salt or mud flats,3879,,,
492,Boreal Herbaceous Wetlands,3745,,,
493,Arctic Sedge Meadows,3747,,,
494,Arctic Dwarf Shrub Wetland,3756,,,
495,Western Great Plains Wooded Draw and Ravine,3385,,,
496,Eastern Great Plains Floodplain Herbaceous,3273,,,
497,Tamaulipan Floodplain Forest,3467,,,
498,Eastern Great Plains Floodplain Woodland,3469,,,
499,Edwards Plateau Riparian Woodland,3525,,,
500,Great Lakes Coastal Marsh Shrubland,3282,,,
501,Laurentian-Acadian Herbaceous Wetlands,3284,,,
502,Laurentian-Acadian Shrub Wetlands,3285,,,
503,Acadian Salt Marsh and Estuary Systems,3491,,,
504,Great Lakes Coastal Marsh Herbaceous,3492,,,
505,Laurentian-Acadian Forested Wetlands,3494,,,
506,Central Interior and Appalachian Shrub Wetlands,3283,,,
507,Central Interior and Appalachian Herbaceous Wetlands,3493,,,
508,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall,3468,,,
509,Gulf and Atlantic Coastal Plain Swamp Systems,3480,,,
510,Polar Tidal Marshes and Aquatic Beds,3741,,,
511,"Temperate Pacific Tidal Marshes, Aquatic Beds, and Intertidal Flats",3742,,,
512,Introduced Upland Vegetation-Treed,3187,,,
513,Hawai'i Introduced Dry Forest,3845,,,
514,Hawai'i Introduced Wet-Mesic Forest,3846,,,
515,Pacific Islands Introduced Forest,3850,,,
516,Introduced Upland Vegetation-Shrub,3186,,,
517,Hawai'i Introduced Deciduous Shrubland,3847,,,
518,Hawai'i Introduced Evergreen Shrubland,3849,,,
519,Ruderal Upland-Treed,3194,,,
520,Ruderal Upland Shrubland,3528,,,
521,Ruderal Upland Herbaceous,3529,,,
522,Ruderal Upland Forest,3531,,,
523,Ruderal Forest-Northern and Central Hardwood and Conifer,3532,,,
524,Ruderal Forest-Southeast Hardwood and Conifer,3533,,,
529,Hawai'i Introduced Perennial Grassland,3848,,,
530,Acadian-Appalachian Alpine Tundra,3386,,,
533,Introduced Wetland Vegetation-Tree,3536,,,
534,Hawai'i Islands Introduced Wetland Vegetation-Tree,3807,,,
535,Hawai'i Introduced Wetland Vegetation-Shrub,3812,,,
536,Hawai'i Introduced Coastal Wetland Vegetation - Tree,3852,,,
537,Hawai'i Introduced Coastal Wetland Vegetation - Shrub,3853,,,
538,Introduced Forest Wetland,3185,,,
539,Introduced Shrub Wetland,3196,,,
540,Introduced Herbaceous Wetland,3199,,,
541,Introduced Wetland Vegetation-Herbaceous,3538,,,
542,Hawai'i Introduced Wetland Vegetation-Herbaceous,3838,,,
543,Hawai'i Introduced Coastal Wetland Vegetation - Herbaceous,3854,,,
544,Managed Tree Plantation-Northern and Central Hardwood and Conifer Plantation Group,3534,,,
545,Managed Tree Plantation-Southeast Conifer and Hardwood Plantation Group,3535,,,
546,Hawai'i Managed Tree Plantation,3855,,,
547,Pacific Islands Plantation Forest,3856,,,
548,Recently Burned - Herb Cover,3759,,,
549,Recently Burned - Shrub Cover,3760,,,
550,Modified/Managed Northern Tallgrass Shrubland,3287,,,
551,Modified/Managed Northern Tallgrass Grassland,3539,,,
552,Modified/Managed Southern Tallgrass Grassland,3540,,,
553,Modified/Managed Southern Tallgrass Shrubland,3564,,,
554,Aleutian Shrub Peatlands,3771,,,
555,Arctic Shrub Peatlands,3772,,,
556,Boreal Peatlands,3773,,,
557,Aleutian Herbaceous Peatlands,3795,,,
558,Arctic Herbaceous Peatlands,3796,,,
559,Aleutian Crowberry-Herbaceous Heath,3719,,,
560,Aleutian Sparse Heath and Fell-Field,3730,,,
561,Boreal Coniferous Woody Wetland,3751,,,
562,Pacific Maritime Coniferous Woody Wetland,3752,,,
563,Pacific Maritime Forested Peatlands,3774,,,
564,Pacific Maritime Shrub Peatlands,3797,,,
565,Hawai'i Dry Coastal Strand,3826,,,
566,Hawai'i Dry Cliff,3825,,,
567,Agriculture,3804,,,
568,Agriculture,3858,,,
569,Caribbean Herbaceous agriculture - cultivated lands,3862,,,
570,Caribbean Active sun coffee and mixed woody agriculture,3863,,,
571,"Caribbean Pasture, hay or inactive agriculture",3864,,,
572,"Caribbean Pasture, hay or other grassy areas",3865,,,
573,Western Cool Temperate Row Crop - Close Grown Crop,3963,,,
574,Western Cool Temperate Aquaculture,3969,,,
575,Eastern Cool Temperate Row Crop - Close Grown Crop,3973,,,
577,Eastern Warm Temperate Row Crop - Close Grown Crop,3993,,,
578,Pacific Islands Limestone Forest,3833,,,
579,Pacific Islands Littoral/Strand Vegetation,3834,,,
580,Pacific Islands Lowland Forest,3835,,,
581,Pacific Islands Mangrove Forest,3836,,,
582,Pacific Islands Palm Forest,3837,,,
583,Pacific Islands Ravine Forest,3839,,,
584,Pacific Islands Savannah,3840,,,
585,Pacific Islands Scrub Forest/Shrub,3841,,,
586,Pacific Islands Swamp/Marsh,3842,,,
587,Pacific Islands Upland Forest,3843,,,
588,Caribbean Drought deciduous open woodland,3866,,,
589,Caribbean Drought deciduous dense woodland,3867,,,
590,Caribbean Semi-deciduous and drought deciduous forest on alluvium and non-carbonate substrates,3869,,,
591,Caribbean Semi-deciduous and drought deciduous forest on karst (includes semi-evergreen forest),3870,,,
592,"Caribbean Deciduous, evergreen coastal and mixed forest or shrubland with succulents",3868,,,
593,"Caribbean Drought deciduous, semi-deciduous and seasonal evergreen forest on serpentine",3871,,,
594,Caribbean Seasonal evergreen and semi-deciduous forest on karst,3872,,,
595,"Caribbean Elfin, sierra palm, transitional and tall cloud forest",3877,,,
596,Caribbean Seasonal evergreen and evergreen forest,3873,,,
597,Caribbean Seasonal evergreen forest with coconut palm,3874,,,
598,Caribbean Evergreen and seasonal evergreen forest on karst,3875,,,
599,Caribbean Evergreen forest on serpentine,3876,,,
600,Caribbean Emergent wetlands including seasonnally flooded pasture,3878,,,
601,Caribbean Tidally flooded evergreen dwarf-shrubland and forb vegetation,3883,,,
602,Caribbean Mangrove,3880,,,
603,Caribbean Seasonally flooded savannahs and woodlands,3881,,,
604,Caribbean Pterocarpus swamp,3882,,,
605,Nodata,-9999,,,
609,Eastern Boreal Floodplain Herbaceous,3271,,,
610,Boreal Jack Pine-Black Spruce Forest,3344,,,
611,Southern Coastal Plain Nonriverine Cypress Dome Woodland,3460,,,
612,Caribbean Forested Swamp,3478,,,
613,Southern Coastal Plain Nonriverine Cypress Dome Herbaceous,3570,,,
614,South Florida Cypress Dome Herbaceous,3572,,,
615,Caribbean Herbaceous Swamp,3575,,,
616,Southwest Florida Coastal Strand and Maritime Hammock,3336,,,
617,Southeast Florida Coastal Strand and Maritime Hammock,3337,,,
618,Caribbean Coastal Wetland Systems,3470,,,
619,Boreal Acidic Peatland Herbaceous,3278,,,
620,Boreal Acidic Peatland Shrubland,3279,,,
621,Acadian Near-Boreal Spruce Barrens,3464,,,
622,Boreal Acidic Peatland Forest,3477,,,
623,Laurentian-Acadian Northern Pine-Oak Forest,3239,,,
624,Laurentian Shrubland Barrens,3269,,,
625,Boreal Aspen-Birch Forest,3301,,,
626,Western North American Boreal White Spruce Forest,3600,,,
627,Western North American Boreal Treeline White Spruce Woodland,3601,,,
628,Alaska Boreal White Spruce Forest,3603,,,
629,Alaska Sub-boreal White-Lutz Spruce Forest and Woodland,3677,,,
630,Alaska Sub-boreal Mountain Hemlock-White Spruce Forest,3678,,,
631,Alaska Sub-boreal White Spruce Forest,3679,,,
632,Alaska Sub-boreal Hardwood Forest,3750,,,
633,Alaska Boreal Hardwood Forest,3779,,,
634,Alaska Boreal White Spruce-Hardwood Forest,3780,,,
635,Alaska Sub-boreal White Spruce-Hardwood Forest,3789,,,
636,Western North American Boreal Subalpine Balsam Poplar-Aspen Woodland,3607,,,
637,Arctic Floodplains,3762,,,
638,Boreal Forested Floodplains,3763,,,
639,Pacific Maritime Forested Floodplains,3764,,,
640,Boreal Riparian Stringer Forest and Shrubland,3776,,,
641,Boreal Herbaceous Floodplains,3787,,,
642,Boreal Shrub Floodplains,3788,,,
643,Pacific Maritime Shrub Floodplains,3790,,,
644,Western North American Boreal Spruce-Lichen Woodland,3602,,,
645,Western North American Boreal Mesic Black Spruce Forest,3604,,,
646,Boreal Coniferous-Deciduous Woody Wetland,3753,,,
647,Boreal Black Spruce-Tussock Woodland,3765,,,
648,Boreal Shrub-Tussock Tundra,3786,,,
649,Alaskan Pacific Maritime Mountain Hemlock Forest,3648,,,
650,Alaskan Pacific Maritime Subalpine Mountain Hemlock Woodland,3649,,,
657,Dry-mesic Montane Western Larch Forest,3228,,,
661,Western North American Boreal Dry Aspen-Steppe Bluff,3606,,,
662,North Pacific Broadleaf Landslide Forest and Shrubland,3063,,,
663,North Pacific Lowland Riparian Forest and Shrubland,3156,,,
664,North Pacific Swamp Systems,3157,,,
665,North Pacific Montane Riparian Woodland and Shrubland,3158,,,
666,North Pacific Hypermaritime Seasonal Sitka Spruce Forest,3036,,,
667,Alaskan Pacific Maritime Sitka Spruce Forest,3644,,,
668,Alaskan Pacific Maritime Periglacial Woodland,3650,,,
669,Alaskan Pacific Maritime Sitka Spruce Beach Ridge,3654,,,
670,Alaskan Pacific Maritime Periglacial Shrubland,3766,,,
671,North Pacific Mesic Western Hemlock-Yellow-cedar Forest,3675,,,
672,Tsuga mertensiana-Abies amabilis Woodland Alliance,3205,,,
673,Alaskan Pacific Maritime Western Hemlock Forest,3646,,,
674,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,3035,,,
675,Coastal Douglas-fir Woodland,3200,,,
676,Pseudotsuga menziesii Giant Forest Alliance,3206,,,
677,Oregon White Oak Woodland,3266,,,
678,Douglas-fir - Oregon White Oak Woodland,3267,,,
679,Willamette Valley Upland Prairie and Savanna,3120,,,
680,Quercus garryana Woodland Alliance,3201,,,
685,East Cascades Oak - Ponderosa Pine Forest and Woodland,3263,,,
686,Juniperus occidentalis Woodland Alliance,3203,,,
691,Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,3170,,,
695,Western North American Boreal Mesic Birch-Aspen Forest,3605,,,
696,Aleutian Kenai Birch-Cottonwood-Poplar Forest,3642,,,
697,Laurentian-Acadian Swamp Shrubland,3402,,,
698,Laurentian-Acadian Swamp Woodland,3526,,,
699,Great Lakes Alvar Shrubland,3409,,,
700,Laurentian-Acadian Floodplain Herbaceous,3276,,,
701,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Shrubland,3281,,,
702,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp Forest,3481,,,
703,East-Central Texas Plains Pine Forest and Woodland,3358,,,
704,Central Appalachian Rocky Shrubland,3288,,,
705,Central Appalachian Rocky Pine Woodland,3377,,,
706,Central Appalachian Rocky Oak Woodland,3556,,,
707,Central Appalachian Rocky Pine-Oak Woodland,3557,,,
708,Boreal Hardwood Forest,3244,,,
709,Boreal White Spruce-Fir-Hardwood Forest,3245,,,
710,Boreal White Spruce-Fir Forest,3365,,,
711,Southern Piedmont Dry Oak-Pine Forest,3448,,,
712,Appalachian Hemlock-Northern Hardwood Forest,3512,,,
713,Central Interior and Appalachian Floodplain Herbaceous,3274,,,
714,Central Interior and Appalachian Floodplain Shrubland,3275,,,
715,Central Interior and Appalachian Swamp Shrubland,3280,,,
716,Central Interior and Appalachian Riparian Herbaceous,3300,,,
717,Central Interior and Appalachian Riparian Shrubland,3319,,,
718,Central Interior and Appalachian Floodplain Forest,3471,,,
719,Central Interior and Appalachian Riparian Forest,3472,,,
720,Central Interior and Appalachian Swamp Forest,3479,,,
721,Pinus palustris-Pinus elliottii Forest Alliance,3552,,,
722,Pinus taeda Forest Alliance,3550,,,
723,Mixed Loblolly-Slash Pine,3553,,,
724,Pinus elliottii Saturated Temperate Woodland Alliance,3551,,,
725,Gulf and Atlantic Coastal Plain Floodplain Herbaceous,3332,,,
726,Gulf and Atlantic Coastal Plain Floodplain Shrubland,3359,,,
727,Gulf and Atlantic Coastal Plain Floodplain Forest,3473,,,
728,Gulf and Atlantic Coastal Plain Small Stream Riparian Woodland,3474,,,
729,Gulf and Atlantic Coastal Plain Small Stream Riparian Herbaceous,3573,,,
730,Gulf and Atlantic Coastal Plain Small Stream Riparian Shrubland,3574,,,
731,Central Atlantic Coastal Plain Wet Longleaf Pine Savanna and Shrubland,3569,,,
732,Juniperus occidentalis Wooded Herbaceous Alliance,3202,,,
733,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,3068,,,
736,North American Warm Desert Riparian Forest and Woodland,3155,,,
739,Pacific Coastal Marsh Systems,3163,,,
747,Quercus turbinella Shrubland Alliance,3215,,,
748,Cercocarpus montanus Shrubland Alliance,3216,,,
749,Apacherian-Chihuahuan Semi-Desert Shrubland,3121,,,
750,North-Central Interior Sand and Gravel Shrubland,3270,,,
751,Western Great Plains Depressional Wetland Systems,3495,,,
752,Western Great Plains Sandhill Shrubland,3094,,,
753,Western Great Plains Sandhill Grassland,3212,,,
754,East Gulf Coastal Plain Jackson Prairie,3433,,,
755,East Gulf Coastal Plain Jackson Prairie Woodland,3568,,,
756,South Texas Sand Sheet Grassland,3442,,,
757,Western Great Plains Sand Prairie Grassland,3148,,,
758,Western Great Plains Sand Prairie Shrubland,3209,,,
759,Central and Upper Texas Coast Dune and Coastal Grassland,3437,,,
760,Tamaulipan Clay Grassland,3440,,,
761,South Texas Dune and Coastal Grassland,3443,,,
762,South Texas Lomas,3439,,,
763,Tamaulipan Mesquite Upland Tree,3391,,,
764,Tamaulipan Mesquite Upland Shrub,3560,,,
765,Apacherian-Chihuahuan Mesquite Upland Scrub,3095,,,
766,Western Great Plains Mesquite Woodland,3111,,,
767,Quercus havardii Shrubland Alliance,3213,,,
768,Edwards Plateau Limestone Woodland,3383,,,
769,Edwards Plateau Limestone Grassland,3558,,,
770,Florida Dry Prairie Shruband,3566,,,
771,Gulf and Atlantic Coastal Plain Tidal Marsh Herbaceous,3396,,,
772,Gulf and Atlantic Coastal Plain Tidal Marsh Shrubland,3490,,,
773,South Florida Everglades Forest,3576,,,
774,South Florida Everglades Shrubland,3581,,,
775,East Gulf Coastal Plain Savanna and Wet Prairie,3485,,,
776,Floridian Highlands Freshwater Marsh Herbaceous,3489,,,
777,East Gulf Coastal Plain Wet Prairie Grassland,3577,,,
778,East Gulf Coastal Plain Wet Prairie Shrubland,3578,,,
779,Floridian Highlands Freshwater Marsh Shrubland,3579,,,
780,Floridian Highlands Freshwater Marsh Woodland,3580,,,
781,Alaska Sub-boreal Avalanche Slope Shrubland,3608,,,
782,Alaska Sub-boreal Mesic Subalpine Alder Shrubland,3609,,,
783,Alaska Arctic Mesic Alder Shrubland,3638,,,
784,Alaskan Pacific Maritime Subalpine Alder-Salmonberry Shrubland,3652,,,
785,Alaskan Pacific Maritime Subalpine Copperbush Shrubland,3672,,,
786,Alaskan Pacific Maritime Avalanche Slope Shrubland,3680,,,
787,Aleutian Mesic Alder-Salmonberry Shrubland,3718,,,
788,Western North American Boreal Alpine Mesic Herbaceous Meadow,3633,,,
789,Alaska Sub-boreal and Maritime Alpine Mesic Herbaceous Meadow,3645,,,
790,Aleutian American Dunegrass Grassland,3671,,,
791,Alaska Arctic Marine Beach and Beach Meadow,3709,,,
792,Aleutian Marine Beach and Beach Meadow,3725,,,
793,Pacific Maritime Coastal Meadows and Slough-Levee,3749,,,
794,Western North American Sub-boreal Mesic Bluejoint Meadow,3611,,,
795,Western North American Boreal Alpine Dryas Dwarf-Shrubland,3634,,,
796,Alaska Arctic Acidic Sparse Tundra,3685,,,
797,Alaska Arctic Non-Acidic Sparse Tundra,3686,,,
798,Alaska Arctic Acidic Dryas Dwarf-Shrubland,3688,,,
799,Alaska Arctic Non-Acidic Dryas Dwarf-Shrubland,3689,,,
800,Alaska Arctic Dwarf-Shrubland,3690,,,
801,Western North American Boreal Dry Grassland,3612,,,
802,Boreal Aquatic Beds,3740,,,
803,Aleutian Herbaceous Wetlands,3743,,,
804,Arctic Herbaceous Wetlands,3744,,,
805,Pacific Maritime Herbaceous Wetlands,3746,,,
806,Aleutian Shrub-Herbaceous Wetlands,3748,,,
807,Aleutian Shrub Floodplains,3761,,,
808,Aleutian Forested Floodplains,3775,,,
809,Alaska Arctic Lichen Tundra,3687,,,
810,Alaska Arctic Acidic Dwarf-Shrub Lichen Tundra,3691,,,
811,Alaska Arctic Non-Acidic Dwarf-Shrub Lichen Tundra,3692,,,
812,Western North American Boreal Alpine Dwarf-Shrub Summit,3631,,,
813,Western North American Boreal Alpine Ericaceous Dwarf-Shrubland,3635,,,
814,Western North American Boreal Alpine Dwarf-Shrub-Lichen Shrubland,3636,,,
815,Alaskan Pacific Maritime Alpine Dwarf-Shrubland,3643,,,
816,Alaskan Pacific Maritime Alpine Sparse Shrub and Fell-field,3674,,,
817,Alaska Arctic Scrub Birch-Ericaceous Shrubland,3682,,,
818,Aleutian Mixed Dwarf-Shrub-Herbaceous Shrubland,3720,,,
819,Boreal Dwarf Shrub Wetland,3757,,,
820,Pacific Maritime Dwarf Shrub Wetland,3758,,,
821,Aleutian Mesic Herbaceous Meadow,3651,,,
822,Alaskan Pacific Maritime Mesic Herbaceous Meadow,3653,,,
823,Alaska Arctic Mesic Herbaceous Meadow,3699,,,
824,Alaska Arctic Mesic Sedge-Willow Tundra,3683,,,
825,Alaska Arctic Mesic Sedge-Dryas Tundra,3684,,,
826,Arctic Shrub Tundra,3785,,,
827,Boreal Shrub Swamp,3777,,,
828,Pacific Maritime Shrub Swamp,3778,,,
829,Boreal Tussock Tundra,3782,,,
830,Arctic Shrub Tussock Tundra,3783,,,
831,Arctic Shrub-Tussock Tundra,3784,,,
832,Arctic Herbaceous Tussock Tundra,3799,,,
833,Arctic Shrub Sedge-Tussock-Lichen Tundra,3781,,,
834,Arctic Herbaceous Sedge-Tussock-Lichen Tundra,3798,,,
835,Western North American Boreal Mesic Scrub Birch-Willow Shrubland,3610,,,
836,Alaska Arctic Mesic-Wet Willow Shrubland,3639,,,
837,Aleutian Mesic-Wet Willow Shrubland,3640,,,
838,Aleutian Oval-leaf Blueberry Shrubland,3731,,,
839,NoData,,-9999,,
840,Acadian Coastal Salt Marsh,,9036,,
841,Acadian Estuary Marsh,,9037,,
842,Acadian Maritime Bog,,9038,,
843,Acadian Sub-Boreal Spruce Barrens,,7464,,
844,Acadian Sub-Boreal Spruce Flat,,7465,,
845,Acadian-Appalachian Alpine Tundra Meadow,,7288,,
846,Acadian-Appalachian Alpine Tundra Shrubland,,7386,,
847,Acadian-Appalachian Conifer Seepage Forest,,9039,,
848,Acadian-North Atlantic Rocky Coast,,9040,,
849,Apacherian-Chihuahuan Semi-Desert Shrub-Steppe,,7121,,
850,Appalachian (Hemlock)-Northern Hardwood Forest,,7512,,
851,Arkansas Valley Prairie,,7415,,
852,Atlantic Coastal Plain Blackwater Stream Floodplain Forest,,9041,,
853,Atlantic Coastal Plain Blackwater Stream Floodplain Herbaceous,,9542,,
854,Atlantic Coastal Plain Blackwater Stream Floodplain Shrubland,,9541,,
855,Atlantic Coastal Plain Brownwater Stream Floodplain Forest,,9042,,
856,Atlantic Coastal Plain Embayed Region Tidal Freshwater Marsh,,9044,,
857,Atlantic Coastal Plain Embayed Region Tidal Salt and Brackish Marsh,,9045,,
858,Atlantic Coastal Plain Indian River Lagoon Tidal Marsh,,9047,,
859,Atlantic Coastal Plain Northern Bog,,9048,,
860,Atlantic Coastal Plain Sandhill Seep,,7516,,
861,Atlantic Coastal Plain Small Blackwater River Floodplain Forest,,9050,,
862,Atlantic Coastal Plain Small Brownwater River Floodplain Forest,,9051,,
863,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall Shrubland,,7469,,
864,Atlantic Coastal Plain Streamhead Seepage Swamp-Pocosin-Baygall Woodland,,7468,,
865,Baja Semi-Desert Coastal Succulent Scrub,,7073,,
866,Bastrop Lost Pines Forest and Woodland,,7358,,
867,Bluegrass Savanna and Woodland Prairie,,7413,,
868,Boreal-Laurentian Bog,,9055,,
869,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,,9056,,
870,Boreal-Laurentian-Acadian Acidic Basin Fen,,9057,,
871,California Central Valley Riparian Shrubland,,7152,,
872,California Central Valley Riparian Woodland,,7151,,
