,CLASSNAME,landfire140,landfire200,tau,k
659,Mesic Montane Western Larch Forest,3237,,0.44,0.025
682,Rocky Mountain Montane Riparian Forest and Woodland,3159,,0.44,0.025
683,Rocky Mountain Montane Riparian Shrubland,3251,,0.44,0.025
693,California Lower Montane Blue Oak Forest and Woodland,3264,,0.44,0.025
694,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,3265,,0.44,0.025
743,Rocky Mountain Subalpine/Upper Montane Riparian Forest and Woodland,3160,,0.44,0.025
0,Open Water,3292,7292,1,0
8,Western Cool Temperate Urban Herbaceous,3903,7903,1,0
18,Western Warm Temperate Urban Herbaceous,3913,7913,1,0
23,Western Cool Temperate Developed Ruderal Shrubland,3923,7923,1,0
24,Western Cool Temperate Developed Ruderal Grassland,3924,7924,1,0
29,Western Warm Temperate Developed Ruderal Grassland,3929,7929,1,0
43,Northern Rocky Mountain Subalpine Deciduous Shrubland,3169,7169,1,0
76,Recently Logged-Herb and Grass Cover,3191,7191,1,0
77,Recently Logged-Shrub Cover,3192,7192,1,0
78,Recently Logged-Tree Cover,3193,7193,1,0
79,Recently Burned-Herb and Grass Cover,3195,7195,1,0
104,Western Cool Temperate Row Crop,3964,7964,1,0
105,Western Cool Temperate Close Grown Crop,3965,7965,1,0
106,Western Cool Temperate Fallow/Idle Cropland,3966,7966,1,0
107,Western Cool Temperate Pasture and Hayland,3967,7967,1,0
108,Western Cool Temperate Wheat,3968,7968,1,0
120,Western Warm Temperate Bush fruit and berries,3982,7982,1,0
121,Western Warm Temperate Row Crop,3984,7984,1,0
122,Western Warm Temperate Close Grown Crop,3985,7985,1,0
123,Western Warm Temperate Fallow/Idle Cropland,3986,7986,1,0
124,Western Warm Temperate Pasture and Hayland,3987,7987,1,0
125,Western Warm Temperate Wheat,3988,7988,1,0
136,Developed-Roads,3299,7299,1,0
319,Columbia Basin Foothill and Canyon Dry Grassland,3134,7134,1,0
320,North Pacific Montane Grassland,3138,7138,1,0
321,Columbia Basin Palouse Prairie,3142,7142,1,0
323,Columbia Plateau Scabland Shrubland,3065,7065,1,0
324,Columbia Plateau Steppe and Grassland,3123,7123,1,0
