veg,tau,k,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3062,0.3,0.033,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,2062,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Tree,628,Conifer,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3067,0.3,0.033,Mediterranean California Alpine Fell-Field,2067,Sh Mediterranean California Alpine Fell-Field,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland
3071,1.0,0.0,Sierra Nevada Alpine Dwarf-Shrubland,2071,Sh Sierra Nevada Alpine Dwarf-Shrubland,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3079,0.3,0.033,Great Basin Xeric Mixed Sagebrush Shrubland,2079,Sh Great Basin Xeric Mixed Sagebrush Shrubland,Shrub,623,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 406: Low Sagebrush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3080,1.0,0.0,Inter-Mountain Basins Big Sagebrush Shrubland,2080,Sh Inter-Mountain Basins Big Sagebrush Shrubland,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Shrubland,Evergreen shrubland
3081,1.0,0.0,Inter-Mountain Basins Mixed Salt Desert Scrub,2081,Sh Inter-Mountain Basins Mixed Salt Desert Scrub,Shrub,636,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland
3082,1.0,0.0,Mojave Mid-Elevation Mixed Desert Scrub,2082,Sh Mojave Mid-Elevation Mixed Desert Scrub,Shrub,613,Shrubland,Desert Scrub,SRM 212: Blackbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3087,0.3,0.033,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,2087,Sh Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrub,611,Shrubland,Creosotebush Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3088,1.0,0.0,Sonora-Mojave Mixed Salt Desert Scrub,2088,Sh Sonora-Mojave Mixed Salt Desert Scrub,Shrub,636,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland
3097,1.0,0.0,California Mesic Chaparral,2097,Sh California Mesic Chaparral,Shrub,607,Shrubland,Chaparral,SRM 207: Scrub Oak Mixed Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3098,1.0,0.0,California Montane Woodland and Chaparral,2098,Sh California Montane Woodland and Chaparral,Shrub,607,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland
3099,1.0,0.0,California Xeric Serpentine Chaparral,2099,Sh California Xeric Serpentine Chaparral,Shrub,607,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland
3103,1.0,0.0,Great Basin Semi-Desert Chaparral,2103,Sh Great Basin Semi-Desert Chaparral,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3105,1.0,0.0,Northern and Central California Dry-Mesic Chaparral,2105,Sh Northern and Central California Dry-Mesic Chaparral,Shrub,607,Shrubland,Chaparral,SRM 206: Chamise Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3106,1.0,0.0,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,2106,Sh Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3108,1.0,0.0,Sonora-Mojave Semi-Desert Chaparral,2108,Sh Sonora-Mojave Semi-Desert Chaparral,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3114,0.44,0.025,California Lower Montane Foothill Pine Woodland and Savanna,2114,Tr California Lower Montane Foothill Pine Woodland and Savanna,Tree,610,Conifer,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy
3123,1.0,0.0,Columbia Plateau Steppe and Grassland,2123,He Columbia Plateau Steppe and Grassland,Herb,618,Shrubland,Grassland and Steppe,SRM 106: Bluegrass Scabland,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3125,1.0,0.0,Inter-Mountain Basins Big Sagebrush Steppe,2125,Sh Inter-Mountain Basins Big Sagebrush Steppe,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3126,1.0,0.0,Inter-Mountain Basins Montane Sagebrush Steppe,2126,Sh Inter-Mountain Basins Montane Sagebrush Steppe,Shrub,604,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 402: Mountain Big Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3127,1.0,0.0,Inter-Mountain Basins Semi-Desert Shrub-Steppe,2127,Sh Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrub,613,Shrubland,Desert Scrub,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
