veg,tau,k,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3965,1.0,0.0,Western Cool Temperate Close Grown Crop,2965,Da Close Grown Crop,Agriculture,65,Agricultural,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3967,1.0,0.0,Western Cool Temperate Pasture and Hayland,2967,Dab Pasture and Hayland,Herb,67,Agricultural,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3968,1.0,0.0,Western Cool Temperate Wheat,2968,Da Wheat,Agriculture,68,Agricultural,Agricultural-Wheat,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3980,0.44,0.025,Western Warm Temperate Orchard,2960,Dab Orchard,Tree,60,Agricultural,Agricultural-Orchard,LF 80: Agriculture,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3981,0.3,0.033,Western Warm Temperate Vineyard,2961,Da Vineyard,Agriculture,61,Agricultural,Agricultural-Vineyard,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3984,1.0,0.0,Western Warm Temperate Row Crop,2964,Da Row Crop,Agriculture,64,Agricultural,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3985,1.0,0.0,Western Warm Temperate Close Grown Crop,2965,Da Close Grown Crop,Agriculture,65,Agricultural,Agricultural-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3986,1.0,0.0,Western Warm Temperate Fallow/Idle Cropland,2966,Dab Fallow/Idle Cropland,Herb,66,Agricultural,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3988,1.0,0.0,Western Warm Temperate Wheat,2968,Da Wheat,Agriculture,68,Agricultural,Agricultural-Wheat,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3004,1.0,0.0,North American Warm Desert Sparsely Vegetated Systems,2004,Sps North American Warm Desert Sparsely Vegetated Systems,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3920,0.44,0.025,Western Cool Temperate Developed Ruderal Deciduous Forest,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3925,0.44,0.025,Western Warm Temperate Developed Ruderal Deciduous Forest,2923,Dtd Developed Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3941,0.2,0.04,Western Cool Temperate Undeveloped Ruderal Evergreen Forest,2934,Dtc Undeveloped Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3943,1.0,0.0,Western Cool Temperate Undeveloped Ruderal Shrubland,2936,Dsh Undeveloped Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3983,1.0,0.0,Western Warm Temperate Row Crop - Close Grown Crop,2963,Da Row Crop - Close Grown Crop,Agriculture,63,Agricultural,Agricultural-Row Crop-Close Grown Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3987,1.0,0.0,Western Warm Temperate Pasture and Hayland,2967,Dab Pasture and Hayland,Herb,67,Agricultural,Agricultural-Pasture and Hayland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3944,1.0,0.0,Western Cool Temperate Undeveloped Ruderal Grassland,2937,Dgr Undeveloped Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland
3014,0.3,0.033,Central and Southern California Mixed Evergreen Woodland,2014,Tr Central and Southern California Mixed Evergreen Woodland,Tree,626,Conifer,California Mixed Evergreen Forest and Woodland,SAF 249: Canyon Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3057,0.3,0.033,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,2057,Tr Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tree,621,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3124,1.0,0.0,Columbia Plateau Low Sagebrush Steppe,2124,Sh Columbia Plateau Low Sagebrush Steppe,Shrub,623,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 406: Low Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3164,1.0,0.0,Rocky Mountain Wetland-Herbaceous,2164,He Rocky Mountain Wetland-Herbaceous,Herb,635,Riparian,Western Herbaceous Wetland,SRM 422: Riparian,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3210,1.0,0.0,Coleogyne ramosissima Shrubland Alliance,2210,Sh Coleogyne ramosissima Shrubland Alliance,Shrub,606,Shrubland,Blackbrush Shrubland,SRM 212: Blackbush,Shrub-dominated,Shrubland,Evergreen shrubland
3222,1.0,0.0,Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,2222,Sps Rocky Mountain Alpine/Montane Sparsely Vegetated Systems II,Sparse,700,Sparsely Vegetated,Sparse Vegetation,LF 33: Sparsely Vegetated,No Dominant Lifeform,Sparsely vegetated,Sparsely vegetated
3252,1.0,0.0,Rocky Mountain Subalpine/Upper Montane Riparian Shrubland,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3966,1.0,0.0,Western Cool Temperate Fallow/Idle Cropland,2966,Dab Fallow/Idle Cropland,Herb,66,Agricultural,Agricultural-Fallow/Idle Cropland,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
3982,1.0,0.0,Western Warm Temperate Bush fruit and berries,2962,Dab Bush Fruit and Berries,Shrub,62,Agricultural,Agricultural-Bush fruit and berries,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3940,0.44,0.025,Western Cool Temperate Undeveloped Ruderal Deciduous Forest,2933,Dtd Undeveloped Ruderal Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3180,0.44,0.025,Introduced Riparian Forest and Woodland,2180,Tr Introduced Riparian Vegetation,Tree,701,Exotic Tree-Shrub,Introduced Riparian Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3259,1.0,0.0,Introduced Riparian Shrubland,2180,Tr Introduced Riparian Vegetation,Shrub,701,Exotic Tree-Shrub,Introduced Riparian Vegetation,LF 58: Introduced Woody Wetlands and Riparian Vegetation,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3056,0.16,0.07400000000000001,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,2056,Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,639,Conifer,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3051,0.16,0.07400000000000001,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,2051,Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tree,625,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3052,0.16,0.07400000000000001,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,2052,Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3050,0.16,0.07400000000000001,Rocky Mountain Lodgepole Pine Forest,2050,Tr Rocky Mountain Lodgepole Pine Forest,Tree,622,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3049,0.2,0.04,Rocky Mountain Foothill Limber Pine-Juniper Woodland,2049,Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tree,621,Conifer,Limber Pine Woodland,SAF 219: Limber Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3251,0.44,0.025,Rocky Mountain Montane Riparian Shrubland,2159,Tr Rocky Mountain Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland
3054,0.2,0.04,Southern Rocky Mountain Ponderosa Pine Woodland,2054,Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,631,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3117,0.3,0.033,Southern Rocky Mountain Ponderosa Pine Savanna,2117,Tr Southern Rocky Mountain Ponderosa Pine Savanna,Tree,631,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy
3064,1.0,0.0,Colorado Plateau Mixed Low Sagebrush Shrubland,2064,Sh Colorado Plateau Mixed Low Sagebrush Shrubland,Shrub,623,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 405: Black Sagebrush,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3070,1.0,0.0,Rocky Mountain Alpine Dwarf-Shrubland,2070,Sh Rocky Mountain Alpine Dwarf-Shrubland,Shrub,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 410: Alpine Rangeland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3143,1.0,0.0,Rocky Mountain Alpine Fell-Field,2143,He Rocky Mountain Alpine Fell-Field,Herb,601,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 410: Alpine Rangeland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3144,1.0,0.0,Rocky Mountain Alpine Turf,2144,He Rocky Mountain Alpine Turf,Herb,616,Grassland,Dry Tundra,SRM 410: Alpine Rangeland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3146,1.0,0.0,Southern Rocky Mountain Montane-Subalpine Grassland,2146,He Southern Rocky Mountain Montane-Subalpine Grassland,Herb,617,Grassland,Grassland,SRM 410: Alpine Rangeland,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3115,0.3,0.033,Inter-Mountain Basins Juniper Savanna,2115,Tr Inter-Mountain Basins Juniper Savanna,Tree,620,Conifer,Juniper Woodland and Savanna,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy
3107,1.0,0.0,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,2107,Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3217,1.0,0.0,Quercus gambelii Shrubland Alliance,2217,Sh Quercus gambelii Shrubland Alliance,Shrub,612,Shrubland,Deciduous Shrubland,SRM 413: Gambel Oak,Shrub-dominated,Shrubland,Deciduous shrubland
3086,1.0,0.0,Rocky Mountain Lower Montane-Foothill Shrubland,2086,Sh Rocky Mountain Lower Montane-Foothill Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3160,0.44,0.025,Rocky Mountain Subalpine/Upper Montane Riparian Forest and Woodland,2160,Tr Rocky Mountain Subalpine/Upper Montane Riparian Systems,Tree,635,Riparian,Western Riparian Woodland and Shrubland,SRM 422: Riparian,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3214,1.0,0.0,Arctostaphylos patula Shrubland Alliance,2214,Sh Arctostaphylos patula Shrubland Alliance,Shrub,607,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3016,0.2,0.04,Colorado Plateau Pinyon-Juniper Woodland,2016,Tr Colorado Plateau Pinyon-Juniper Woodland,Tree,630,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3059,0.2,0.04,Southern Rocky Mountain Pinyon-Juniper Woodland,2059,Tr Southern Rocky Mountain Pinyon-Juniper Woodland,Tree,630,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3119,0.3,0.033,Southern Rocky Mountain Juniper Woodland and Savanna,2119,Tr Southern Rocky Mountain Juniper Woodland and Savanna,Tree,620,Conifer,Juniper Woodland and Savanna,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy
3093,1.0,0.0,Southern Colorado Plateau Sand Shrubland,2093,Sh Southern Colorado Plateau Sand Shrubland,Shrub,637,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3046,0.2,0.04,Northern Rocky Mountain Subalpine Woodland and Parkland,2046,Tr Northern Rocky Mountain Subalpine Woodland and Parkland,Tree,640,Conifer,Subalpine Woodland and Parkland,SAF 208: Whitebark Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3047,0.16,0.074,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,2047,Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3053,0.2,0.04,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,2053,Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tree,631,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3065,1.0,0.0,Columbia Plateau Scabland Shrubland,2065,Sh Columbia Plateau Scabland Shrubland,Shrub,613,Shrubland,Desert Scrub,SRM 106: Bluegrass Scabland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3134,1.0,0.0,Columbia Basin Foothill and Canyon Dry Grassland,2134,He Columbia Basin Foothill and Canyon Dry Grassland,Herb,617,Grassland,Grassland,SRM 101: Bluebunch Wheatgrass,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3142,1.0,0.0,Columbia Basin Palouse Prairie,2142,He Columbia Basin Palouse Prairie,Herb,617,Grassland,Grassland,SRM 102: Idaho Fescue,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Perennial graminoid grassland
3161,0.3,0.033,Northern Rocky Mountain Conifer Swamp,2161,Tr Northern Rocky Mountain Conifer Swamp,Tree,639,Riparian,Spruce-Fir Forest and Woodland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3166,0.16,0.074,Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,2166,Tr Middle Rocky Mountain Montane Douglas-fir Forest and Woodland,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3167,0.16,0.074,Rocky Mountain Poor-Site Lodgepole Pine Forest,2167,Tr Rocky Mountain Poor-Site Lodgepole Pine Forest,Tree,622,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3169,1.0,0.0,Northern Rocky Mountain Subalpine Deciduous Shrubland,2169,Sh Northern Rocky Mountain Subalpine Deciduous Shrubland,Shrub,612,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Deciduous shrubland
3233,0.2,0.04,Subalpine Douglas-fir Forest,2227,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3234,0.2,0.04,Mesic Montane Douglas-fir Forest,2227,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3235,0.2,0.04,Xeric Montane Douglas-fir Forest,2227,Tr Pseudotsuga menziesii Forest Alliance,Tree,614,Conifer,Douglas-fir Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3236,0.44,0.025,Subalpine Western Larch Forest,2228,Tr Larix occidentalis Forest Alliance,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3237,0.44,0.025,Mesic Montane Western Larch Forest,2228,Tr Larix occidentalis Forest Alliance,Tree,644,Conifer,Western Larch Forest and Woodland,SAF 212: Western Larch,Tree-dominated,Open tree canopy,Deciduous open tree canopy
